Month,Gasoline (Thousand bbls_d),Ethane (Thousand bbls_day),Propane (Thousand bbl_d),Jet Fuel (Thousand bbl_d)
Jan-05,6123,13,327,1552
Feb-05,6066,8,326,1576
Mar-05,5864,10,314,1541
Apr-05,6390,15,340,1638
May-05,6283,18,339,1631
Jun-05,6316,16,347,1701
Jul-05,6176,16,325,1585
Aug-05,6115,15,315,1590
Sep-05,5906,11,277,1368
Oct-05,5589,7,249,1337
Nov-05,6123,17,288,1520
Dec-05,6221,12,290,1515
Jan-06,6003,8,286,1515
Feb-06,5742,11,278,1438
Mar-06,5461,15,276,1461
Apr-06,5218,14,304,1447
May-06,5306,13,323,1435
Jun-06,5371,10,293,1493
Jul-06,5303,17,300,1540
Aug-06,5409,18,343,1485
Sep-06,5330,17,312,1511
Oct-06,4985,15,288,1490
Nov-06,5167,19,303,1422
Dec-06,5338,13,313,1529
Jan-07,5229,17,324,1480
Feb-07,4817,14,328,1421
Mar-07,4948,12,325,1403
Apr-07,4999,14,339,1368
May-07,5185,14,338,1451
Jun-07,5280,16,334,1459
Jul-07,5250,15,340,1484
Aug-07,5281,14,315,1470
Sep-07,5065,12,327,1436
Oct-07,4918,12,317,1446
Nov-07,5070,15,325,1463
Dec-07,5281,14,353,1489
Jan-08,5025,15,329,1535
Feb-08,4792,12,309,1467
Mar-08,4710,13,314,1475
Apr-08,4754,13,309,1492
May-08,4541,15,337,1558
Jun-08,4368,15,333,1605
Jul-08,4362,15,324,1647
Aug-08,4122,14,309,1609
Sep-08,3588,7,265,1312
Oct-08,4204,9,290,1401
Nov-08,4067,13,320,1425
Dec-08,4138,12,306,1383
Jan-09,3838,14,278,1420
Feb-09,3629,12,264,1402
Mar-09,3778,15,280,1374
Apr-09,3752,14,306,1428
May-09,3902,13,304,1381
Jun-09,4006,13,314,1405
Jul-09,3897,13,299,1515
Aug-09,3637,12,295,1395
Sep-09,3710,15,285,1402
Oct-09,3401,17,276,1297
Nov-09,3579,17,296,1316
Dec-09,3533,17,292,1467
Jan-10,3224,14,264,1355
Feb-10,3086,12,284,1346
Mar-10,3307,15,289,1381
Apr-10,3307,14,298,1475
May-10,3172,16,304,1452
Jun-10,3253,16,287,1495
Jul-10,3353,16,292,1550
Aug-10,3209,16,281,1470
Sep-10,3056,15,281,1417
Oct-10,2730,12,259,1336
Nov-10,2866,13,266,1410
Dec-10,2982,14,279,1439
Jan-11,2839,15,261,1372
Feb-11,2694,12,243,1313
Mar-11,2647,15,265,1446
Apr-11,2551,14,263,1426
May-11,2695,13,273,1482
Jun-11,2652,16,281,1570
Jul-11,2530,13,276,1553
Aug-11,2609,12,280,1548
Sep-11,2782,14,263,1564
Oct-11,2567,15,259,1397
Nov-11,2864,15,286,1371
Dec-11,2835,15,285,1454
Jan-12,2442,15,270,1443
Feb-12,2393,12,267,1407
Mar-12,2324,15,258,1415
Apr-12,2265,18,258,1436
May-12,2315,16,267,1471
Jun-12,2407,10,286,1612
Jul-12,2346,13,295,1618
Aug-12,2298,13,285,1566
Sep-12,2347,12,268,1456
Oct-12,2469,13,282,1427
Nov-12,2538,12,280,1387
Dec-12,2567,11,293,1491
Jan-13,2470,7,268,1417
Feb-13,2398,6,255,1410
Mar-13,2289,6,277,1469
Apr-13,2140,7,268,1531
May-13,2261,5,289,1455
Jun-13,2407,6,292,1530
Jul-13,2400,7,290,1564
Aug-13,2256,7,296,1615
Sep-13,2250,9,293,1555
Oct-13,2203,8,273,1447
Nov-13,2298,7,287,1505
Dec-13,2442,6,314,1598
Jan-14,2063,5,303,1489
Feb-14,2120,6,295,1470
Mar-14,2001,4,290,1431
Apr-14,2036,5,321,1507
May-14,1986,5,322,1480
Jun-14,1795,3,317,1531
Jul-14,1888,5,330,1648
Aug-14,1636,7,318,1685
Sep-14,1567,5,298,1628
Oct-14,1567,4,264,1497
Nov-14,1775,4,297,1584
Dec-14,1977,5,320,1675
Jan-15,1604,4,288,1529
Feb-15,1656,7,274,1536
Mar-15,1612,6,299,1507
Apr-15,1567,5,314,1600
May-15,1490,5,297,1617
Jun-15,1447,4,278,1645
Jul-15,1571,5,283,1674
Aug-15,1577,3,275,1604
Sep-15,1637,4,265,1556
Oct-15,1644,5,257,1559
Nov-15,1767,5,284,1642
Dec-15,1699,6,285,1702
Jan-16,1591,4,284,1581
Feb-16,1633,3,290,1579
Mar-16,1647,4,307,1574
Apr-16,1469,4,314,1592
May-16,1506,4,328,1605
Jun-16,1557,0,326,1660
Jul-16,1591,2,321,1735
Aug-16,1583,5,303,1794
Sep-16,1560,3,302,1724
Oct-16,1609,4,291,1591
Nov-16,1610,3,309,1690
Dec-16,1669,2,308,1663
Jan-17,1558,3,298,1618
Feb-17,1415,9,282,1604
Mar-17,1427,2,295,1676
Apr-17,1406,5,298,1737
May-17,1480,7,324,1712
Jun-17,1472,5,333,1762
Jul-17,1540,5,312,1814
Aug-17,1438,8,309,1761
Sep-17,1447,3,278,1661
Oct-17,1586,5,303,1611
Nov-17,1772,7,315,1670
Dec-17,1790,6,332,1784
Jan-18,1694,5,296,1691
Feb-18,1619,5,295,1689
Mar-18,1604,8,295,1781
Apr-18,1553,6,307,1795
May-18,1427,4,300,1802
Jun-18,1507,4,321,1891
Jul-18,1545,6,320,1891
Aug-18,1504,9,310,1952
Sep-18,1588,5,296,1854
Oct-18,1726,6,279,1690
Nov-18,1766,7,294,1769
Dec-18,1724,5,303,1855
Jan-19,1800,2,297,1771
Feb-19,1635,7,257,1693
Mar-19,1632,6,288,1727
Apr-19,1452,5,295,1727
May-19,1503,5,295,1727
Jun-19,1535,4,300,1879
Jul-19,1531,6,292,1919
Aug-19,1568,7,295,1922
Sep-19,1531,5,272,1802
Oct-19,1638,4,252,1662
Nov-19,1788,5,294,1834
Dec-19,1794,5,316,1890
Jan-20,1720,5,297,1855
Feb-20,1555,5,281,1667
Mar-20,1506,7,278,1358
Apr-20,1192,7,230,619
May-20,1095,5,234,505
Jun-20,1276,9,249,733
Jul-20,1325,8,265,834
Aug-20,1517,6,274,849
Sep-20,1416,4,260,799
Oct-20,1515,5,258,821
Nov-20,1587,5,275,1062
Dec-20,1590,6,266,1126
Jan-21,1507,4,259,1226
Feb-21,1284,2,219,950
Mar-21,1453,3,271,1101
Apr-21,1471,2,280,1262
May-21,1535,6,301,1306
Jun-21,1520,4,301,1380
Jul-21,1407,2,289,1420
Aug-21,1397,4,288,1432
Sep-21,1351,6,260,1353
Oct-21,1392,2,277,1319
Nov-21,1441,8,287,1435
Dec-21,1540,6,294,1511
Jan-22,1416,9,268,1517
Feb-22,1391,6,269,1502
Mar-22,1337,5,284,1435
Apr-22,1325,5,299,1698
